url,name,brand,sku,price,original_price,360_dərəcə_fırlanma,akkumulyatorun_tutumu,brend,daxili_yaddaş,displey,ekranın_diaqonalı,girişlər,kateqoriya,klaviaturanın_dili,model,operativ_yaddaş,prosessor,rəng,sensorlu_ekran,veb_kamera,videokart,videokartın_növü,wi_fi,zəmanət,ölçülər_e_d_h,əməliyyat_sistemi
https://kontakt.az/notbuk-lenovo-thinkpad-t16-gen-3-21mn00blfw,Notbuk Lenovo ThinkPad T16 Gen 3 (21MN00BLFW),Lenovo,TM-DG-KOT-1114-NB-3456,"1.699,99",2399.99,Var,"65 Vt*s, 15 saatadək",HP,SSD 512GB,"2K IPS (1920 × 1200), 60 Hz","14""","2× USB Type-A, USB Type-C, HDMI",İş və təhsil,"İngilis, Rus",14-FP0017CI,"LPDDR5 16GB, 5200 MHz","Intel Core 5 120U, 0.9 - 5.0 GHz",Glacier Silver,Var,1080p,Intel Graphics,Daxili Intel,Wi-Fi 6E (802.11ax),12 ay,313 × 210 × 18.4 mm,FreeDos
https://kontakt.az/notbuk-hp-omnibook-5-14-fp0017ci-bz1h8ea,Notbuk HP OmniBook 5 14-FP0017CI (BZ1H8EA),HP,TM-DG-KOT-1114-NB-3207,"1.699,99",2399.99,Var,"65 Vt*s, 15 saatadək",HP,SSD 512GB,"2K IPS (1920 × 1200), 60 Hz","14""","2× USB Type-A, USB Type-C, HDMI",İş və təhsil,"İngilis, Rus",14-FP0017CI,"LPDDR5 16GB, 5200 MHz","Intel Core 5 120U, 0.9 - 5.0 GHz",Glacier Silver,Var,1080p,Intel Graphics,Daxili Intel,Wi-Fi 6E (802.11ax),12 ay,313 × 210 × 18.4 mm,FreeDos
https://kontakt.az/notbuk-loq-15irx9-83dv01clrk,Notbuk Lenovo LOQ 15IRX9 (83DV01CLRK),Lenovo,TM-DG-KOT-1114-NB-3477,"1.699,99",2399.99,Var,"65 Vt*s, 15 saatadək",HP,SSD 512GB,"2K IPS (1920 × 1200), 60 Hz","14""","2× USB Type-A, USB Type-C, HDMI",İş və təhsil,"İngilis, Rus",14-FP0017CI,"LPDDR5 16GB, 5200 MHz","Intel Core 5 120U, 0.9 - 5.0 GHz",Glacier Silver,Var,1080p,Intel Graphics,Daxili Intel,Wi-Fi 6E (802.11ax),12 ay,313 × 210 × 18.4 mm,FreeDos
https://kontakt.az/notbuk-hp-15-fd1189ci-d15zvea,Notbuk HP 15-FD1189CI (D15ZVEA),HP,TM-DG-KOT-1114-NB-3462,1849.99,,,,,,,,,,,,,,,,,,,,,,
https://kontakt.az/notbuk-lenovo-thinkpad-t14-gen-5-21mmsd6n-rt,Notbuk Lenovo ThinkPad T14 Gen 5 (21MMSD6N-RT),Lenovo,TM-DG-KOT-1114-NB-3457,2299.99,,,,,,,,,,,,,,,,,,,,,,
https://kontakt.az/notbuk-lenovo-ideapad-5-2in1-14irh9-83kx007vrk,Notbuk Lenovo IdeaPad 5 2in1 14IRH9 (83KX007VRK),Lenovo,TM-DG-KOT-1114-NB-3478,1599.99,,,,,,,,,,,,,,,,,,,,,,
https://kontakt.az/notbuk-lenovo-thinkbook-14-g9-ahp-21v0000pfw,Notbuk Lenovo ThinkBook 14 G9 AHP (21V0000PFW),Lenovo,TM-DG-KOT-1114-NB-3485,1869.99,,,,,,,,,,,,,,,,,,,,,,
https://kontakt.az/notbuk-asus-vivobook-v16-v3607vu-rp148-90nb15q1-m00r60,Notbuk Asus VivoBook V16 V3607VU-RP148 (90NB15Q1-M00R60),Asus,TM-DG-KOT-1114-NB-3307,2199.99,,,,,,,,,,,,,,,,,,,,,,
https://kontakt.az/notbuk-asus-zenbook-14-um3406ga-qd134-90nb17r1-m006m0,Notbuk Asus ZenBook 14 UM3406GA-QD134 (90NB17R1-M006M0),Apple,TM-DG-KOT-1114-NB-3488,"2.899,99",3999.99,Yox,"80 Vt*s, 5.6 saatadək",Lenovo,SSD 512GB,"WQXGA (2560 × 1600), 165 Hz","16""","3× USB 3.2 Gen 1 Type-A, 2× USB 3.2 Gen 2 Type-C, HDMI, Ethernet (RJ-45)",Oyun,"İngilis, Rus",Legion 5 16IRX9,"DDR5 16GB, 4800 MHz","Intel Core i5 13450HX, 2.4 - 4.6 GHz",Luna Grey,Yox,1080p,"GeForce RTX 4060, 8 GB",Xarici Nvidia,Wi-Fi 6E (802.11ax),12 ay,359.7 × 262.3 × 25.2 mm,ƏS yoxdur
https://kontakt.az/notbuk-lenovo-legion-5-16irx9-83dg000drk,Notbuk Lenovo Legion 5 16IRX9 (83DG000DRK),Lenovo,TM-DG-KOT-1114-NB-3479,"2.899,99",3999.99,Yox,"80 Vt*s, 5.6 saatadək",Lenovo,SSD 512GB,"WQXGA (2560 × 1600), 165 Hz","16""","3× USB 3.2 Gen 1 Type-A, 2× USB 3.2 Gen 2 Type-C, HDMI, Ethernet (RJ-45)",Oyun,"İngilis, Rus",Legion 5 16IRX9,"DDR5 16GB, 4800 MHz","Intel Core i5 13450HX, 2.4 - 4.6 GHz",Luna Grey,Yox,1080p,"GeForce RTX 4060, 8 GB",Xarici Nvidia,Wi-Fi 6E (802.11ax),12 ay,359.7 × 262.3 × 25.2 mm,ƏS yoxdur
https://kontakt.az/notbuk-asus-expertbook-p3-pm3406cka-ly0471-90nx0971-m00je0,Notbuk Asus ExpertBook P3 PM3406CKA-LY0471 (90NX0971-M00JE0),Asus,TM-DG-KOT-1114-NB-3487,"1.999,99",2599.99,Yox,"90 Vt*s, 19 saatadək",HUAWEI,SSD 1 TB,"OLED (2880 × 1920), 120 Hz","14.2""","2× USB 3.2 Gen 1 Type-A, 1× USB 3.2 Gen 1 Type-C, HDMI",Premium,"İngilis, Rus",MateBook 14,"LPDDR5 32GB, 6400 MHz","Intel Core Ultra 5 125H, 1.8 - 4.50 GHz",Space Grey,Var,1080p,Intel Arc Graphics,Daxili Intel,Wi-Fi 6 (802.11ax),12 ay,312.6 × 226.8 × 14.5 mm,ƏS yoxdur
https://kontakt.az/notbuk-asus-rog-zephyrus-g14-ga403um-qs004-90nr0m81-m00270,Notbuk Asus ROG Zephyrus G14 GA403UM-QS004 (90NR0M81-M00270),Asus,TM-DG-KOT-1114-NB-3483,3989.99,,,,,,,,,,,,,,,,,,,,,,
https://kontakt.az/notbuk-lenovo-thinkpad-t14-gen-6-21qg004tfw,Notbuk Lenovo ThinkPad T14 Gen 6 (21QG004TFW),Lenovo,TM-DG-KOT-1114-NB-3480,3459.99,,,,,,,,,,,,,,,,,,,,,,
https://kontakt.az/notbuk-lenovo-thinkpad-x12-detachable-gen-2-21lk003jrt,Notbuk Lenovo ThinkPad X12 Detachable Gen 2 (21LK003JRT),Lenovo,TM-DG-KOT-1114-NB-3482,3569.99,,,,,,,,,,,,,,,,,,,,,,
https://kontakt.az/notbuk-lenovo-thinkpad-x1-carbon-gen-13-aura-edtion-21ns004lfw,Notbuk Lenovo ThinkPad X1 Carbon Gen 13 Aura Edtion (21NS004LFW),Lenovo,TM-DG-KOT-1114-NB-3481,4869.99,,,,,,,,,,,,,,,,,,,,,,
https://kontakt.az/notbuk-huawei-matebook-14-53014mtv,Notbuk HUAWEI MateBook 14 (53014MTV),HUAWEI,TM-DG-KOT-1114-NB-3476,1999.99,,,,,,,,,,,,,,,,,,,,,,
https://kontakt.az/notbuk-lenovo-thinkbook-16-g9-ahp-21ut000lfw,Notbuk Lenovo ThinkBook 16 G9 AHP (21UT000LFW),Lenovo,TM-DG-KOT-1114-NB-3486,1889.99,,,,,,,,,,,,,,,,,,,,,,
