Location,% of world,Percent of country,Percent of country,Percent of country,Percent of country,Percent of country,Percent of country,Percent of country,Percent of country,Percent of country,Year
Location,% of world,Coal,Gas,Hydro,Nuclear,Wind,Solar,Oil*,Bio.,Geo.,Year
Madagascar,0.009,19,0,31,0,0,3,45,1,0,2023
Botswana,0.009,96,0,0,0,0,0,4,0,0,2023
Malta,0.008,0,86,0,0,0,13,1,0,0,2023
Suriname,0.007,0,1,42,0,0,0,56,0,0,2023
Bahamas,0.007,0,0,0,0,0,1,99,0,0,2023
Namibia,0.006,2,0,70,0,1,27,1,0,0,2023
Malawi,0.006,0,0,92,0,0,1,4,3,0,2023
Guam,0.006,0,0,0,0,0,8,92,0,0,2023
Burkina Faso,0.006,0,0,7,0,0,5,83,5,0,2023
Guadeloupe,0.006,13,0,1,0,7,7,52,15,6,2022
Mauritania,0.006,0,0,13,0,6,9,73,0,0,2023
Equatorial Guinea,0.005,0,68,31,0,0,0,1,0,0,2023
Martinique,0.005,0,0,0,0,3,6,74,17,1,2022
Luxembourg,0.005,0,6,6,0,35,21,4,27,0,2023
Guyana,0.005,0,1,0,0,0,1,93,5,0,2023
Fiji,0.004,0,0,52,0,0,1,37,10,0,2023
Barbados,0.004,0,3,0,0,0,8,89,0,0,2023
Rwanda,0.004,5,21,53,0,0,4,18,0,0,2023
Palestine,0.003,0,0,0,0,0,33,67,0,0,2023
Haiti,0.003,0,0,19,0,0,0,81,0,0,2023
Aruba,0.003,0,0,0,0,14,3,83,0,0,2023
Benin,0.003,0,73,0,0,0,3,24,0,0,2023
French Guiana,0.003,0,0,61,0,0,5,29,5,0,2022
Afghanistan,0.003,3,0,77,0,0,9,10,0,0,2023
Togo,0.003,0,72,9,0,0,12,8,0,0,2023
Maldives,0.003,0,0,0,0,0,7,93,0,0,2023
Niger,0.003,22,6,0,0,0,2,69,0,0,2023
French Polynesia,0.002,0,0,27,0,0,7,66,0,0,2023
Cayman Islands,0.002,0,0,0,0,0,3,97,0,0,2023
U.S. Virgin Islands,0.002,0,0,0,0,0,3,97,0,0,2023
Bermuda,0.002,0,0,0,0,0,0,98,2,0,2023
Seychelles,0.002,0,0,0,0,2,13,86,0,0,2023
South Sudan,0.002,0,0,0,0,0,7,93,0,0,2023
Eswatini,0.002,4,0,54,0,0,5,0,38,0,2023
Greenland,0.002,0,0,87,0,0,0,13,0,0,2023
Gambia,0.002,0,0,0,0,0,0,100,0,0,2023
Timor-Leste,0.002,0,0,0,0,0,0,100,0,0,2023
Cape Verde,0.002,0,0,0,0,14,14,72,0,0,2023
Macau,0.002,0,51,0,0,0,0,8,41,0,2023
Faroe Islands,0.002,0,0,27,0,19,0,54,0,0,2023
Lesotho,0.002,0,0,100,0,0,0,0,0,0,2023
Belize,0.002,0,0,53,0,0,2,11,33,0,2023
Eritrea,0.001,0,0,0,0,0,11,89,0,0,2023
Somalia,0.001,0,0,0,0,2,17,81,0,0,2023
Saint Lucia,0.001,0,0,0,0,0,2,98,0,0,2023
Burundi,0.001,0,0,67,0,0,0,31,3,0,2023
Chad,0.001,0,0,0,0,3,0,95,3,0,2023
Liberia,0.001,0,0,33,0,0,0,67,0,0,2023
Antigua and Barbuda,0.001,0,0,0,0,0,6,94,0,0,2023
Turks and Caicos Islands,0.0009,0,0,0,0,0,0,100,0,0,2023
Grenada,0.0008,0,0,0,0,0,0,100,0,0,2023
Gibraltar,0.0007,0,100,0,0,0,0,0,0,0,2023
Saint Kitts and Nevis,0.0007,0,0,0,0,5,0,95,0,0,2023
Sierra Leone,0.0007,0,0,86,0,0,10,5,0,0,2023
Djibouti,0.0007,0,0,0,0,35,0,65,0,0,2023
American Samoa,0.0006,0,0,0,0,0,0,100,0,0,2023
British Virgin Islands,0.0006,0,0,0,0,0,0,100,0,0,2023
Dominica,0.0005,0,0,13,0,0,0,87,0,0,2023
Saint Vincent and the Grenadines,0.0005,0,0,13,0,0,0,87,0,0,2023
Samoa,0.0005,0,0,20,0,0,13,60,7,0,2023
Central African Republic,0.0005,0,0,100,0,0,0,0,0,0,2023
Comoros,0.0005,0,0,0,0,0,0,100,0,0,2023
Solomon Islands,0.0004,0,0,0,0,0,9,91,0,0,2023
São Tomé and Príncipe,0.0003,0,0,11,0,0,0,89,0,0,2023
Guinea-Bissau,0.0003,0,0,0,0,0,0,100,0,0,2023
Vanuatu,0.0003,0,0,12,0,0,12,75,0,0,2023
Tonga,0.0002,0,0,0,0,0,14,86,0,0,2023
Saint Pierre and Miquelon,0.0002,0,0,0,0,0,0,100,0,0,2023
Cook Islands,0.0001,0,0,0,0,0,50,50,0,0,2023
Kiribati,0.0001,0,0,0,0,0,25,75,0,0,2023
Nauru,0.0001,0,0,0,0,0,0,100,0,0,2023
Falkland Islands,3e-05,0,0,0,0,0,0,100,0,0,2023
Montserrat,3e-05,0,0,0,0,0,0,100,0,0,2023
"Saint Helena, Ascension and Tristan da Cunha",3e-05,0,0,0,0,0,0,100,0,0,2023
