Location,Total (TWh)[1],Generation (TWh)[1],Generation (TWh)[1],Generation (TWh)[1],Generation (TWh)[1],Generation (TWh)[1],Generation (TWh)[1],Generation (TWh)[1],Generation (TWh)[1],Generation (TWh)[1],Year
Location,Total (TWh)[1],Coal,Gas,Hydro,Nuclear,Wind,Solar,Oil*,Bio.,Geo.,Year
Senegal,8.0,0.5,0.02,0.3,0,0.7,0.6,6.0,0.1,0.0,2023
Mongolia,8.0,7.0,0.0,0.06,0,0.5,0.2,0.3,0.0,0.0,2023
North Macedonia,7.0,2.0,1.0,2.0,0,0.2,0.5,0.7,0.1,0.0,2023
El Salvador,6.0,0.0,0.0,2.0,0,0.1,1.0,0.6,0.9,2.0,2023
Latvia,6.0,0.0,1.0,4.0,0,0.3,0.2,0.0,0.7,0.0,2023
Kosovo,6.0,6.0,0.0,0.5,0,0.2,0.02,0.02,0.0,0.0,2023
Estonia,6.0,0.0,0.02,0.03,0,0.8,0.7,3.0,1.0,0.0,2023
Uganda,6.0,0.0,0.0,5.0,0,0.0,0.1,0.1,0.5,0.0,2023
Brunei,6.0,1.0,4.0,0.0,0,0.0,0.0,0.05,0.0,0.0,2023
Cyprus,5.0,0.0,0.0,0.0,0,0.2,0.8,4.0,0.05,0.0,2023
Lithuania,5.0,0.0,0.6,0.4,0,3.0,0.7,0.3,0.8,0.0,2023
Congo,5.0,0.0,4.0,1.0,0,0.0,0.01,0.3,0.01,0.0,2023
Moldova,5.0,0.0,4.0,0.3,0,0.2,0.09,0.3,0.01,0.0,2023
Papua New Guinea,5.0,0.0,0.9,1.0,0,0.0,0.01,3.0,0.01,0.1,2023
Lebanon,5.0,0.0,0.0,0.7,0,0.01,1.0,2.0,0.03,0.0,2023
Jamaica,4.0,0.0,2.0,0.1,0,0.3,0.1,2.0,0.06,0.0,2023
Nicaragua,4.0,0.0,0.0,0.7,0,0.6,0.03,2.0,0.9,0.7,2023
Mali,4.0,0.0,0.0,2.0,0,0.0,0.1,2.0,0.07,0.0,2023
Montenegro,4.0,2.0,0.0,2.0,0,0.3,0.0,0.0,0.0,0.0,2023
Guinea,4.0,0.0,0.0,3.0,0,0.0,0.03,1.0,0.0,0.0,2023
Réunion,3.0,0.9,0.0,0.6,0,0.0,0.3,1.0,0.2,0.0,2022
Mauritius,3.0,1.0,0.0,0.09,0,0.01,0.1,2.0,0.3,0.0,2023
Gabon,3.0,0.0,1.0,2.0,0,0.0,0.0,0.5,0.01,0.0,2023
New Caledonia,3.0,1.0,0.0,0.5,0,0.04,0.2,1.0,0.0,0.0,2023
Yemen,3.0,0.0,0.6,0.0,0,0.0,0.5,2.0,0.0,0.0,2023
Madagascar,3.0,0.5,0.0,0.8,0,0.0,0.08,1.0,0.03,0.0,2023
Botswana,3.0,2.0,0.0,0.0,0,0.0,0.01,0.1,0.0,0.0,2023
Malta,2.0,0.0,2.0,0.0,0,0.0,0.3,0.02,0.01,0.0,2023
Suriname,2.0,0.0,0.02,0.9,0,0.0,0.01,1.0,0.01,0.0,2023
Bahamas,2.0,0.0,0.0,0.0,0,0.0,0.02,2.0,0.0,0.0,2023
Namibia,2.0,0.03,0.0,1.0,0,0.02,0.5,0.01,0.0,0.0,2023
Malawi,2.0,0.0,0.0,2.0,0,0.0,0.01,0.08,0.05,0.0,2023
Guam,2.0,0.0,0.0,0.0,0,0.0,0.1,2.0,0.0,0.0,2023
Burkina Faso,2.0,0.0,0.0,0.1,0,0.0,0.09,1.0,0.09,0.0,2023
Guadeloupe,2.0,0.2,0.0,0.01,0,0.1,0.1,0.8,0.2,0.1,2022
Mauritania,2.0,0.0,0.0,0.2,0,0.1,0.1,1.0,0.0,0.0,2023
Equatorial Guinea,2.0,0.0,1.0,0.5,0,0.0,0.0,0.01,0.0,0.0,2023
Martinique,1.0,0.0,0.0,0.0,0,0.04,0.09,1.0,0.2,0.01,2022
