Country/Territory,2003[3],2003[3],2003[3],2013[1],2013[1],2013[1],2022[4],2021/22[5]
Country/Territory,kgoe/a,GJ/a,W,kgoe/a,GJ/a,W,kgoe/a,kWh
Romania,1632.2,68.55,2173.1,1592.1,66.87,2119.8,1655.8,18347.0
Russia,4943.1,207.61,6581.2,5093.1,213.91,6780.9,5601.1,55459.0
Rwanda,,,,,,,373.0,471.0
Saint Lucia,,,,,,,,13600.0
Saint Vincent and the Grenadines,,,,,,,,8245.0
Samoa,,,,,,,,7302.0
São Tomé and Príncipe,,,,,,,,3310.0
Saudi Arabia,6167.9,259.05,8212.0,6363.4,267.26,8472.2,7529.6,87707.0
Senegal,272.0,11.42,362.1,261.0,10.96,347.5,316.0,2505.0
Serbia,2141.0,89.92,2850.5,2078.5,87.3,2767.3,2441.2,27641.0
Seychelles,,,,,,,,45934.0
Singapore,6455.7,271.14,8595.2,4833.4,203.0,6435.2,6630.4,147085.0
Slovakia,3280.5,137.78,4367.6,3178.3,133.49,4231.6,3087.7,33888.0
Slovenia,3520.2,147.85,4686.7,3323.2,139.58,4424.6,3039.0,34391.0
Solomon Islands,,,,,,,,1892.0
Somalia,,,,,,,,217.0
South Africa,2737.8,114.99,3645.1,2655.9,111.55,3536.0,1976.6,22351.0
South Sudan,,,,,,,69.0,732.0
Spain,2772.7,116.45,3691.5,2503.8,105.16,3333.6,2406.6,33615.0
Sri Lanka,477.9,20.07,636.3,487.5,20.48,649.1,473.9,4348.0
Sudan,370.9,15.58,493.9,374.8,15.74,499.0,411.8,2317.0
Suriname,,,,,,,1739.2,20285.0
Sweden,5468.2,229.67,7280.4,5131.5,215.52,6832.1,4326.6,59927.0
Switzerland,3348.8,140.65,4458.5,3304.0,138.77,4399.0,2591.2,33351.0
Syrian Arab Republic,1063.0,44.64,1415.2,668.1,28.06,889.6,454.5,5507.0
Taiwan,,,,,,,,55607.0
Tajikistan,335.5,14.09,446.7,302.7,12.71,403.1,375.2,7675.0
Tanzania,447.8,18.81,596.1,469.7,19.73,625.4,405.1,907.0
Thailand,1698.9,71.35,2261.9,1987.6,83.48,2646.3,1857.3,19617.0
Togo,446.1,18.74,593.9,462.6,19.43,615.9,425.4,1116.0
Tonga,,,,,,,,6699.0
Trinidad and Tobago,15913.3,668.36,21187.0,14537.6,610.58,19355.3,11038.4,107269.0
Tunisia,912.8,38.34,1215.3,956.5,40.17,1273.5,956.0,9524.0
Turkey,1445.1,60.69,1924.0,1528.2,64.18,2034.6,1841.6,22824.0
Turkmenistan,4225.9,177.49,5626.3,5011.6,210.49,6672.5,5625.6,71367.0
Uganda,,,,,,,482.8,767.0
Ukraine,2844.9,119.49,3787.7,2553.2,107.23,3399.3,1493.0,16309.0
United Arab Emirates,8271.5,347.4,11012.6,7691.0,323.02,10239.8,8335.8,148577.0
United Kingdom,3254.1,136.67,4332.5,2977.7,125.06,3964.5,2263.4,30098.0
United States,7164.5,300.91,9538.8,6915.8,290.47,9207.8,6505.6,78754.0
Uruguay,1240.9,52.12,1652.1,1350.5,56.72,1798.1,1626.1,18317.0
Uzbekistan,1533.0,64.39,2041.1,1419.5,59.62,1889.9,1381.8,16930.0
Vanuatu,,,,,,,,2957.0
Venezuela,2668.6,112.08,3553.0,2271.2,95.39,3023.9,1478.1,21683.0
Vietnam,681.4,28.62,907.2,667.6,28.04,888.9,1023.1,12983.0
Yemen,297.9,12.51,396.6,323.7,13.6,431.0,68.9,1080.0
Zambia,627.8,26.37,835.9,631.5,26.52,840.7,800.7,3419.0
Zimbabwe,764.0,32.09,1017.2,757.5,31.82,1008.6,416.6,2635.0
